code,language
SGS,English
GRD,English
CHE,French
SLE,English
HUN,Hungarian
TWN,Chinese
WLF,French
BRB,English
PCN,English
CIV,French
TUN,Arabic
ITA,Italian
BEN,French
IDN,Indonesian
CPV,Portuguese
KNA,English
LAO,Lao
BES,English
UGA,English
AND,Catalan
BDI,French
ZAF,English
FRA,French
LBY,Arabic
MEX,Spanish
GAB,French
MNP,English
MKD,Macedonian
CHN,Chinese
YEM,Arabic
BLM,French
GGY,English
SLB,English
SJM,Norwegian
FRO,Danish
UZB,Russian
EGY,Arabic
SEN,French
LKA,Sinhala
PSE,Arabic
BGD,Bengali
PER,Aymara
SGP,English
TUR,Turkish
AFG,Dari
ABW,Dutch
COK,English
GBR,English
ZMB,English
FIN,Finnish
NER,French
CXR,English
TKL,English
GNB,Portuguese
AZE,Azerbaijani
REU,French
DJI,French
PRK,Korean
MUS,English
MSR,English
VIR,English
COL,Spanish
GRC,Greek
HRV,Croatian
MAR,Arabic
DZA,Arabic
ATA,Unknown
NLD,Dutch
SDN,English
FJI,English
LIE,German
NPL,Nepali
PRI,English
GEO,Georgian
PAK,English
MCO,French
BWA,English
LBN,French
PNG,English
MYT,French
DOM,Spanish
NFK,English
BVT,Norwegian
QAT,Arabic
MDG,French
IND,English
SYR,Arabic
MNE,Montenegrin
SWZ,English
PRY,Guaraní
SLV,Spanish
UKR,Ukrainian
IMN,English
NAM,English
ARE,Arabic
BGR,Bulgarian
GRL,Greenlandic
DEU,German
KHM,Khmer
IRQ,Arabic
ATF,French
SWE,Swedish
CUB,Spanish
KGZ,Kyrgyz
RUS,Russian
MYS,English
STP,Portuguese
CYP,Greek
CAN,English
MWI,English
SAU,Arabic
BIH,Bosnian
ETH,Amharic
ESP,Spanish
SVN,Slovene
OMN,Arabic
SPM,French
MAC,Portuguese
SMR,Italian
LSO,English
MHL,English
SXM,English
ISL,Icelandic
LUX,French
ARG,Guaraní
TCA,English
NRU,English
CCK,English
ESH,Berber
DMA,English
CRI,Spanish
AUS,English
THA,Thai
HTI,French
TUV,English
HND,Spanish
GNQ,French
LCA,English
PYF,French
BLR,Belarusian
LVA,Latvian
PLW,English
GLP,French
PHL,English
GIB,English
DNK,Danish
CMR,English
GIN,French
BHR,Arabic
SUR,Dutch
COD,French
SOM,Arabic
CZE,Czech
NCL,French
VUT,English
SHN,English
TGO,French
VGB,English
KEN,English
NIU,English
HMD,English
RWA,English
EST,Estonian
ROU,Romanian
TTO,English
GUY,English
TLS,Portuguese
VNM,Vietnamese
URY,Spanish
VAT,Italian
HKG,English
AUT,German
ATG,English
TKM,Russian
MOZ,Portuguese
PAN,Spanish
FSM,English
IRL,English
CUW,English
GUF,French
NOR,Norwegian Nynorsk
ALA,Swedish
CAF,French
BFA,French
ERI,English
TZA,English
KOR,Korean
JOR,Arabic
MRT,Arabic
LTU,Lithuanian
UMI,English
SVK,Slovak
AGO,Portuguese
KAZ,Kazakh
MDA,Romanian
MLI,French
FLK,English
ARM,Armenian
WSM,English
JEY,English
JPN,Japanese
BOL,Aymara
CHL,Spanish
USA,English
VCT,English
BMU,English
SYC,English
IOT,English
GTM,Spanish
ECU,Spanish
MTQ,French
TJK,Russian
MLT,English
GMB,English
NGA,English
BHS,English
UNK,Albanian
KWT,Arabic
MDV,Maldivian
SSD,English
IRN,Persian (Farsi)
ALB,Albanian
BRA,Portuguese
SRB,Serbian
BLZ,English
MMR,Burmese
BTN,Dzongkha
VEN,Spanish
LBR,English
JAM,English
POL,Polish
CYM,English
BRN,Malay
COM,French
GUM,English
TON,English
KIR,English
GHA,English
TCD,French
ZWE,English
MAF,French
MNG,Mongolian
PRT,Portuguese
ASM,English
COG,French
BEL,French
ISR,Arabic
NZL,English
NIC,Spanish
AIA,English
